Project,CDD,BL FD,New FinishDate,ClientName,Des.Qty,Des.Val (Lakhs),Pr.%WC,Task%WC,Pr.Qty,Pr.Val (Lakhs),Project Budget (Hrs),CompletionStatus,PM
4297,16-04-2019 08:30,0,29-03-2019 17:30,CCM,4,₹ 16.66,45,0,4,₹ 16.70,700,2-Design Completed,Vinothkumar
4298,30-12-2018 08:00,0,28-11-2018 17:00,BDL,12,₹ 1.92,100,100,12,₹ 1.90,0,8-Project Completed,Hariprasath
4300,31-03-2019 08:30,28-03-2019 17:30,26-03-2019 17:30,"YUSUF BIN AHMED KANOO W.L.L.,",64,₹ 15.67,22,0,64,₹ 15.70,448,3-PPC Completed,Vinothkumar
4301,03-04-2019 08:30,0,18-03-2019 17:30,MCCPTA,1,₹ 2.53,14,0,1,₹ 2.50,8,3-PPC Completed,Hariprasath
4302,08-05-2019 08:00,0,04-05-2019 09:30,Sirpur Paper Mills,1,₹ 10.07,39,0,1,₹ 10.10,1430,2-Design Completed,Vinothkumar
4303,30-12-2018 08:00,0,15-11-2018 17:00,BDL,1,₹ 0.05,0,0,1,₹ 0.10,0,8-Project Completed,Hariprasath
4305,03-01-2019 08:30,23-01-2019 17:30,25-01-2019 12:30,Modern Engineering & Plastics,30,₹ 0.74,2,0,30,₹ 0.70,280,3-PPC Completed,Hariprasath
4309,23-03-2019 08:00,20-02-2019 09:00,20-02-2019 09:00,KMML,40,₹ 0.51,8,0,40,₹ 0.50,8,3-PPC Completed,Hariprasath
4173-02,07-04-2018 06:00,09-01-2018 06:04,31-03-2018 18:00,IOCL-EIL,2,₹ 111.72,100,100,2,₹ 111.70,9702,8-Project Completed,Ethiraj
4173-108,07-04-2018 06:00,31-03-2018 13:30,31-03-2018 13:30,IOCL-EIL,1,₹ 65.62,100,100,1,₹ 65.60,5579,8-Project Completed,Ethiraj
4173-126,07-04-2018 06:00,30-03-2018 08:40,30-03-2018 08:40,IOCL-EIL,2,₹ 43.75,100,100,2,₹ 43.80,4352,8-Project Completed,Ethiraj
4192-HC 150-1,07-01-2019 08:00,14-05-2018 13:12,05-09-2018 17:00,IGCAR,1,₹ 66.77,100,100,1,₹ 66.80,16880,8-Project Completed,Varun
4192-HC 150-2,07-01-2019 08:00,07-08-2018 21:30,27-12-2018 09:30,IGCAR,1,₹ 66.77,100,100,1,₹ 66.80,16880,8-Project Completed,Varun
4192-HC 150-3,07-01-2019 08:00,07-08-2018 21:30,30-04-2019 12:30,IGCAR,1,₹ 66.77,66,0,1,₹ 66.80,16880,9-On Hold,Varun
4192-HC 150-4,07-01-2019 08:00,07-08-2018 21:30,02-07-2019 12:30,IGCAR,1,₹ 66.77,0,0,1,₹ 66.80,16880,9-On Hold,Varun
4192-HC 150-5,07-01-2019 08:00,07-08-2018 21:30,02-07-2019 12:30,IGCAR,1,₹ 66.77,0,0,1,₹ 66.80,16880,9-On Hold,Varun
4192-HC 150-6,07-01-2019 08:00,07-08-2018 21:30,02-07-2019 12:30,IGCAR,1,₹ 66.77,0,0,1,₹ 66.80,16880,9-On Hold,Varun
4192-VC-100,07-01-2019 08:30,09-10-2018 08:30,30-11-2018 08:30,IGCAR,1,₹ 2.07,100,100,1,₹ 2.10,80,8-Project Completed,Varun
4192-VC-600,07-01-2019 08:30,09-10-2018 08:30,30-11-2018 08:30,IGCAR,1,₹ 2.55,100,100,1,₹ 2.60,200,8-Project Completed,Varun
4201-0004,06-08-2018 08:00,0,29-09-2018 14:00,Dangote,4,₹ 386.56,100,0,4,₹ 386.60,33620,6-QC Completed,Anand
4201-0005,31-08-2018 08:00,0,29-09-2018 15:30,Dangote,4,₹ 301.44,100,0,4,₹ 301.40,26218,6-QC Completed,Anand
4203-AT 630-2,14-02-2019 08:30,27-07-2018 22:00,23-08-2018 22:00,IGCAR,1,₹ 2.91,100,100,1,₹ 2.90,575,8-Project Completed,Varun
"4203-AT 630-4,5,6",14-02-2019 08:30,27-07-2018 22:00,30-11-2018 22:00,IGCAR,1,₹ 2.91,100,100,1,₹ 8.70,1725,8-Project Completed,Varun
4203-AT-400,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,22,₹ 50.60,0,0,22,₹ 50.60,8074,9-On Hold,Varun
4203-AT-400N,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,7,₹ 16.31,0,0,7,₹ 16.30,2628,9-On Hold,Varun
4203-AT-500,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,14,₹ 38.78,0,0,14,₹ 38.80,7393,9-On Hold,Varun
4203-AT-630,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,20,₹ 58.20,0,0,20,₹ 58.20,11523,9-On Hold,Varun
4203-AT-630-10,14-02-2019 08:30,14-11-2018 16:30,03-01-2019 08:30,IGCAR,1,₹ 2.91,99,0,1,₹ 2.90,575,B-Production in Progress,Varun
4203-AT-630-3,14-02-2019 08:30,14-11-2018 16:30,05-01-2019 08:30,IGCAR,1,₹ 2.91,91,0,1,₹ 2.90,576,B-Production in Progress,Varun
4203-AT-630-7,14-02-2019 08:30,14-11-2018 16:30,31-12-2018 08:30,IGCAR,1,₹ 2.91,99,0,1,₹ 2.90,576,B-Production in Progress,Varun
4203-AT-630-8,14-02-2019 08:30,14-11-2018 16:30,31-12-2018 20:30,IGCAR,1,₹ 2.91,99,0,1,₹ 2.90,576,B-Production in Progress,Varun
4203-AT-630-9,14-02-2019 08:30,14-11-2018 16:30,03-01-2019 08:30,IGCAR,1,₹ 2.91,98,0,1,₹ 2.90,576,B-Production in Progress,Varun
4203-AT-630N,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,2,₹ 6.02,0,0,2,₹ 6.00,1155,9-On Hold,Varun
4203-AT-720,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,11,₹ 33.99,0,0,11,₹ 34.00,7070,9-On Hold,Varun
4203-RCAT-125,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,16,₹ 25.12,0,0,16,₹ 25.10,3057,9-On Hold,Varun
